"","row_id","State","District","SourceYear","DistrictCode","StateCode","Arsenic","Carbonate","Calcium","Chloride","Electrical_Conductivity","Fluorine","Iron","Hydrogencarbonate","Potassium","Magnesium","Nitrate","Sodium","Percentage_Sodium","Phosphate_Ion","Residual_Sodium_Carbonate","Sodium_Absorption_Ratio","Sulfate","Silicon_Dioxide","Hardness_Total","Alkalinity_Total","Total_Dissolved_Solids","Potential_Of_Hydrogen","SDP","Gini_Coefficient"
"11",1063235,"Andaman And Nicobar Islands","North And Middle Andaman",2010,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3164,0.3
"12",1163235,"Andaman And Nicobar Islands","North And Middle Andaman",2011,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3404,0.3
"13",1263235,"Andaman And Nicobar Islands","North And Middle Andaman",2012,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3558,0.3
"14",1363235,"Andaman And Nicobar Islands","North And Middle Andaman",2013,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3811,0.3
"15",1463235,"Andaman And Nicobar Islands","North And Middle Andaman",2014,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4151,0.3
"16",1563235,"Andaman And Nicobar Islands","North And Middle Andaman",2015,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4483,0.3
"17",1663235,"Andaman And Nicobar Islands","North And Middle Andaman",2016,632,35,NA,0,42.7586206896552,65.9172413793103,596.620689655172,0.275862068965517,0.402068965517241,211.683931034483,2.53793103448276,22.5846551724138,4.72413793103448,43.1724137931034,NA,0.172758620689655,NA,NA,27.3793103448276,20.2413793103448,199.53015862069,NA,354.068965517241,7.88,5091,0.3
"18",1763235,"Andaman And Nicobar Islands","North And Middle Andaman",2017,632,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5750,0.3
"19",1863235,"Andaman And Nicobar Islands","North And Middle Andaman",2018,632,35,0,0,14.9411764705882,30.2367647058824,504.823529411765,0.812941176470588,0.506823529411765,210.988235294118,2.56529411764706,35.4494117647059,12.1864705882353,33.84,NA,0,0,0,27.9564705882353,9.77352941176471,183.235294117647,172.941176470588,296.467823529412,8.08588235294118,6108,0.3
"20",60235,"Andaman And Nicobar Islands","South Andaman",2000,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,0.33
"21",160235,"Andaman And Nicobar Islands","South Andaman",2001,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,857,0.33
"22",260235,"Andaman And Nicobar Islands","South Andaman",2002,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948,0.33
"23",360235,"Andaman And Nicobar Islands","South Andaman",2003,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,0.33
"24",460235,"Andaman And Nicobar Islands","South Andaman",2004,602,35,NA,NA,46.2307692307692,70.2692307692308,594.692307692308,0.258181818181818,0.669,214.807692307692,1.74230769230769,23.4076923076923,5.92,44.8615384615385,NA,NA,NA,1.32307692307692,38.52,NA,211.923076923077,NA,NA,7.935,1633,0.33
"25",560235,"Andaman And Nicobar Islands","South Andaman",2005,602,35,NA,10.6666666666667,59.9285714285714,195.035714285714,1021.71428571429,0.111363636363636,0.375357142857143,194.678571428571,3.77142857142857,29.0785714285714,10.1357692307692,91.5,NA,NA,1.28,1.93214285714286,33,NA,268.035714285714,NA,NA,8.39464285714286,1720,0.33
"26",660235,"Andaman And Nicobar Islands","South Andaman",2006,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2029,0.33
"27",760235,"Andaman And Nicobar Islands","South Andaman",2007,602,35,NA,NA,68.8461538461538,313.615384615385,1420.92307692308,0.281153846153846,0.825714285714286,250.807692307692,5.46153846153846,36.9230769230769,4.33888888888889,191.230769230769,NA,NA,NA,2.70807692307692,67.2692307692308,NA,331.923076923077,NA,NA,7.78307692307692,2238,0.33
"28",860235,"Andaman And Nicobar Islands","South Andaman",2008,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2579,0.33
"29",960235,"Andaman And Nicobar Islands","South Andaman",2009,602,35,NA,NA,25.7647058823529,40.7352941176471,373.970588235294,0.203809523809524,0.290533333333333,149.511764705882,2.12647058823529,15.4664705882353,3.45161290322581,30.1558823529412,NA,NA,NA,1.23088235294118,14.4545454545455,NA,127.941176470588,NA,NA,7.91235294117647,2911,0.33
"30",1060235,"Andaman And Nicobar Islands","South Andaman",2010,602,35,NA,16.5,49.7857142857143,83.5,746.928571428571,0.621666666666667,0.857666666666667,260.428571428571,4.01428571428571,20.1621428571429,3.25925925925926,85.1428571428571,NA,NA,4.3,2.64071428571429,30.8,NA,207.142857142857,NA,NA,8.13892857142857,3164,0.33
"31",1160235,"Andaman And Nicobar Islands","South Andaman",2011,602,35,NA,NA,55.3939393939394,47.1212121212121,533.121212121212,0.186153846153846,0.0649411764705882,274.393939393939,2.80625,15.1060606060606,2.5,50.2121212121212,NA,NA,NA,1.57272727272727,22.8787878787879,NA,198.939393939394,NA,NA,7.77878787878788,3404,0.33
"32",1260235,"Andaman And Nicobar Islands","South Andaman",2012,602,35,NA,NA,33.9428571428571,51.3428571428571,525.885714285714,0.1465,0.2852,209.4,3.990625,24.92,8.06666666666667,43.0571428571429,NA,NA,NA,1.556,39.5625,NA,200,NA,NA,8.20571428571429,3558,0.33
"33",1360235,"Andaman And Nicobar Islands","South Andaman",2013,602,35,NA,NA,48.4067796610169,45.8152542372881,554.559322033898,0.345,0.856896551724138,206.305084745763,3.71932203389831,15.9959322033898,6.33094339622641,46.7779661016949,NA,NA,NA,1.47949152542373,52.0322033898305,NA,187.881355932203,NA,NA,7.95593220338983,3811,0.33
"34",1460235,"Andaman And Nicobar Islands","South Andaman",2014,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4151,0.33
"35",1560235,"Andaman And Nicobar Islands","South Andaman",2015,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4483,0.33
"36",1660235,"Andaman And Nicobar Islands","South Andaman",2016,602,35,NA,0,45.3214285714286,86.65625,625.732142857143,0.287678571428571,0.714107142857143,201.385803571429,4.06785714285714,18.7827678571429,4.44642857142857,53.4107142857143,NA,0.151071428571429,NA,NA,22.5178571428571,18.6071428571429,190.542860714286,NA,372.625,7.83089285714286,5091,0.33
"37",1760235,"Andaman And Nicobar Islands","South Andaman",2017,602,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5750,0.33
"38",1860235,"Andaman And Nicobar Islands","South Andaman",2018,602,35,0,2.12727272727273,18.8363636363636,55.4359090909091,514.418181818182,0.565454545454545,0.483309090909091,180.308545454545,2.49872727272727,27.8967272727273,2.52036363636364,44.2107272727273,NA,0,0,0,27.2165454545455,16.6276363636364,161.909090909091,151.336363636364,307.065576363636,8.12581818181818,6108,0.33
"39",50228,"Andhra Pradesh","Anantapur",2000,502,28,NA,8.60869565217391,61.4117647058824,267.323529411765,1789.11764705882,1.2169696969697,NA,324.205882352941,28.8,48.1787575757576,100.969696969697,222,NA,NA,5.26566666666667,5.67864705882353,142.878787878788,NA,359.205882352941,NA,NA,8.53558823529412,126035,0.27
"40",150228,"Andhra Pradesh","Anantapur",2001,502,28,NA,NA,89.9166666666667,247.866666666667,1729.79166666667,1.279,NA,414.366666666667,23.7125,47.5833333333333,114.541666666667,189.895833333333,NA,NA,4.5506,4.110375,87.9791666666667,NA,420,NA,NA,7.93083333333333,131750,0.27
"41",250228,"Andhra Pradesh","Anantapur",2002,502,28,NA,NA,NA,253.026666666667,1790.41666666667,1.19791666666667,NA,NA,NA,NA,164.13125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82625,134749,0.27
"42",350228,"Andhra Pradesh","Anantapur",2003,502,28,NA,NA,NA,NA,1752.73333333333,1.54,NA,NA,NA,NA,88.8266666666667,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8.78266666666667,147950,0.27
"43",450228,"Andhra Pradesh","Anantapur",2004,502,28,NA,20.4705882352941,65.5294117647059,344.764705882353,1981.76470588235,1.02676470588235,3,300.058823529412,47.9823529411765,62.8211764705882,147.470588235294,239.176470588235,NA,NA,-5.67529411764706,5.39882352941177,115.117647058824,NA,421.882352941176,280.076470588235,NA,8.46882352941176,121388,0.27
"44",550228,"Andhra Pradesh","Anantapur",2005,502,28,NA,NA,95.2,435.5,2982.5,1.307,NA,650.2,133.05,68.192,144.2,373.1,NA,NA,9.348,7.374,214.7,NA,518,532.97,NA,7.75,128150,0.27
