"State_Year","State","SourceYear","Hydrogencarbonate","Alkalinity_Total","SDP","Gini_Coefficient","win_margin","literacy_rate","gii_rate","ENPP","gini_state"
"Andhra Pradesh_2000","Andhra Pradesh",2000,275.110562697897,NA,126035,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2001","Andhra Pradesh",2001,414.366666666667,NA,131750,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2002","Andhra Pradesh",2002,NA,NA,134749,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2003","Andhra Pradesh",2003,138.95,254.602,147950,0.297692307692308,30.27,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2004","Andhra Pradesh",2004,288.285779414988,255.390851852145,121388,0.297692307692308,46.93,60.47,0.479,2.312730775,0.394
"Andhra Pradesh_2005","Andhra Pradesh",2005,399.565143308785,329.398686885578,128150,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2006","Andhra Pradesh",2006,303.662974526353,263.523791071727,141610,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2007","Andhra Pradesh",2007,352.110435222005,293.516575644784,159270,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2008","Andhra Pradesh",2008,360.043686887217,300.329347359289,163341,0.297692307692308,46.93,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2009","Andhra Pradesh",2009,323.325094930911,275.33117702271,174401,0.297692307692308,21.76,60.47,0.479,2.59536392,0.394
"Andhra Pradesh_2010","Andhra Pradesh",2010,389.740338626062,324.850654305713,186041,0.297692307692308,21.76,60.47,0.479,2.05385286,0.394
"Andhra Pradesh_2011","Andhra Pradesh",2011,406.638567715837,336.545284605787,339996,0.297692307692308,21.76,67.02,0.479,2.05385286,0.394
"Andhra Pradesh_2012","Andhra Pradesh",2012,NA,NA,341335,0.297692307692308,21.76,67.02,0.361,2.05385286,0.394
"Andhra Pradesh_2013","Andhra Pradesh",2013,317.093817412183,272.786379006779,360239,0.297692307692308,21.76,67.02,0.361,2.05385286,0.394
"Andhra Pradesh_2014","Andhra Pradesh",2014,336.076981833122,286.982660203431,397064,0.297692307692308,15.98,67.02,0.361,2.05385286,0.394
"Andhra Pradesh_2015","Andhra Pradesh",2015,441.373481894199,363.676998034116,446997,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Andhra Pradesh_2016","Andhra Pradesh",2016,406.167481970689,NA,477566,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Andhra Pradesh_2017","Andhra Pradesh",2017,444.678031109603,366.688450263103,526626,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Andhra Pradesh_2018","Andhra Pradesh",2018,444.109744110057,364.820004319683,558862,0.297692307692308,15.98,67.02,0.361,1.312631263,0.27
"Arunachal Pradesh_2000","Arunachal Pradesh",2000,NA,NA,1607,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2001","Arunachal Pradesh",2001,NA,NA,1864,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2002","Arunachal Pradesh",2002,NA,NA,1775,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2003","Arunachal Pradesh",2003,NA,NA,1968,0.29,81.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2004","Arunachal Pradesh",2004,NA,NA,3188,0.29,41.67,54.34,0.774,2.545968883,0.426
"Arunachal Pradesh_2005","Arunachal Pradesh",2005,60.7083333333333,NA,3281,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2006","Arunachal Pradesh",2006,88,95.1,3458,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2007","Arunachal Pradesh",2007,56.0416666666667,NA,3873,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2008","Arunachal Pradesh",2008,49.435,NA,4191,0.29,41.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2009","Arunachal Pradesh",2009,124.9275,107.12,4539,0.29,61.67,54.34,0.774,1.956521739,0.426
"Arunachal Pradesh_2010","Arunachal Pradesh",2010,66.7291666666667,NA,4735,0.29,61.67,54.34,0.774,1.880877743,0.426
"Arunachal Pradesh_2011","Arunachal Pradesh",2011,NA,NA,10229,0.29,61.67,65.39,0.774,1.880877743,0.426
"Arunachal Pradesh_2012","Arunachal Pradesh",2012,NA,NA,10399,0.29,61.67,65.39,0.789,1.880877743,0.426
